iter	Passed	Remaining
387	1145	1511
388	1147	1507
389	1149	1503
390	1152	1500
391	1155	1496
392	1157	1492
393	1160	1490
394	1163	1486
395	1165	1483
396	1168	1480
397	1171	1477
398	1174	1474
399	1176	1470
400	1179	1467
401	1181	1463
402	1183	1460
403	1186	1456
404	1189	1453
405	1192	1451
406	1195	1447
407	1198	1444
408	1201	1441
409	1203	1438
410	1206	1435
411	1208	1431
412	1211	1428
413	1213	1425
414	1216	1421
415	1219	1419
416	1222	1415
417	1225	1412
418	1227	1409
419	1230	1405
420	1233	1403
421	1236	1400
422	1238	1396
423	1241	1393
424	1243	1389
425	1246	1386
426	1248	1383
427	1251	1379
428	1253	1376
429	1256	1372
430	1259	1370
431	1261	1367
432	1264	1363
433	1267	1360
434	1269	1357
435	1272	1353
436	1274	1350
437	1276	1346
438	1279	1343
439	1281	1340
